# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
a 	啊	c=537 d=5.12293 t=79920
a a 	啊啊	c=1 d=3.01031e-24 t=17463
a a a 	啊啊啊	c=1 d=1 t=17329
a a a a 	啊啊啊啊	c=0 d=0.1 t=43612
a a a a a a 	啊啊啊啊啊啊	c=0 d=0.1 t=43612
a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊	c=1 d=1 t=43613
a ai de fa 	啊爱德发	c=1 d=1 t=46738
a cheng 	阿城	c=0 d=0.1 t=73211
a da 	阿达	c=0 d=0.192312 t=46761
a da da fa dui fang 	阿达大法对方	c=1 d=1 t=46746
a da sa dan fa sheng de fa shi da fu 	阿达撒旦发生的发士大夫	c=1 d=1 t=46762
a da wu da wei da shi dai 	啊达乌达伟大时代	c=1 d=1 t=21910
a di 	阿迪	c=3 d=1 t=76367
a di da si 	阿迪达斯	c=2 d=1 t=21185
a di fa da guo 	阿迪发达国	c=1 d=1 t=25717
a ding shen fa 	啊定身法	c=5 d=4.68812 t=46796
a ding shen fa da fa da fa dui fang 	啊定身法大法大法对方	c=1 d=1 t=46741
a ding shen fa ding shen fa 	啊定身法定身法	c=1 d=1 t=46742
a ding shen fa dui fang 	啊定身法对方	c=1 d=1 t=46739
a fan da 	阿凡达	c=0 d=0.1 t=32098
a fan da fa 	阿凡达发	c=1 d=1 t=32099
a ga 	啊噶	c=1 d=1 t=41289
a ha ha 	啊哈哈	c=2 d=1 t=37603
a hui 	阿辉	c=0 d=0.1 t=50933
a ji 	阿吉	c=0 d=8.24236e-22 t=17463
a jin 	阿金	c=0 d=0.1 t=36695
a kang jia dian shi fei lai ni 	啊康佳电视费莱尼	c=1 d=1 t=46730
a ke 	阿克	c=0 d=3.31087e-27 t=17463
a ke da 	阿克达	c=0 d=0.1 t=46727
a ke da ji fa 	阿克达激发	c=1 d=1 t=46728
a kui luo 	阿奎罗	c=0 d=5.73956e-29 t=17463
a kui luo shou gou jia a li shan da ke gen ju zi xing che 	阿奎罗收购价阿历山大可根据自行车	c=1 d=5.76833e-28 t=17463
a la 	阿拉	c=1 d=1 t=35855
a la ke 	阿拉克	c=1 d=0.474734 t=17463
a la ke da shu jia fa 	阿拉克大数加法	c=1 d=2.42043e-17 t=17463
a la shan kou 	阿拉山口	c=0 d=1.1228e-28 t=17463
a la shan kou de ji fen 	阿拉山口的积分	c=2 d=1 t=51957
a la sheng de ji fen 	啊拉升的积分	c=1 d=1 t=48706
a li 	阿里	c=0 d=0.1 t=69741
a li ba ba 	阿里巴巴	c=2 d=1 t=52074
a li shan da 	阿历山大	c=0 d=1.11448e-28 t=17463
a li shan da kuai ji fa 	阿历山大会计法	c=1 d=5.43241e-28 t=17463
a li yun 	阿里云	c=6 d=1 t=77928
a ling 	阿玲	c=0 d=0.1 t=60416
a long suo 	阿隆索	c=0 d=5.05997e-17 t=17463
a long suo de kai fang jiang la su de kai fang 	阿隆索的开放姜辣素的开放	c=1 d=5.08534e-16 t=17463
a me 	啊么	c=1 d=1 t=57003
a ni 	阿尼	c=0 d=0.1 t=35707
a san deng fen jiao 	啊三等分角	c=1 d=1 t=48705
a se 	阿瑟	c=0 d=9.20233e-24 t=17463
a se dao qie an 	阿瑟盗窃案	c=1 d=9.24846e-23 t=17463
a shan dong 	阿善动	c=1 d=1 t=78285
a shang lan de fen jiang a shang lan de fen jiang 	啊上篮得分将啊上篮得分将	c=1 d=1 t=20066
a shang lan de fen jiu liang le 	啊上篮得分就凉了	c=1 d=3.16196e-14 t=17463
a shang lan de fen kua jing a suan le ji ou 	啊上篮得分跨境啊算了奇偶	c=1 d=1 t=43615
a shi da fu da sa fen 	啊士大夫搭撒分	c=1 d=1 t=24975
a shi da fu sa dan fa 	啊士大夫撒旦发	c=1 d=0.0191587 t=17463
a shi da fu san da 	啊士大夫三大	c=1 d=0.017953 t=17463
a shi da shi 	啊实打实	c=3 d=1 t=45052
a shi fa shi 	啊事发时	c=2 d=2.39673e-13 t=17463
a shi lian duo kuai fang jia 	啊失恋多块放假	c=1 d=0.00802655 t=17463
a si da 	阿思达	c=1 d=0.1 t=25467
a si da gong fa song 	阿思达共发送	c=1 d=1 t=25468
a si da she ding 	阿思达设定	c=1 d=0.1 t=46819
a si da she ding fa fa shi fou 	阿思达设定发发是否	c=1 d=1 t=46820
a si dun 	阿斯顿	c=15 d=1 t=64049
a si dun fa 	阿斯顿发	c=29 d=1 t=79231
a si dun fa da fa 	阿斯顿发大法	c=1 d=1 t=46715
a si dun fa dui fang 	阿斯顿发对方	c=1 d=1 t=46711
a si dun fa gao an shen gu hao 	阿斯顿发高岸深谷号	c=1 d=1 t=31096
a si dun fa le kuai su da ji fu lei ke sa 	阿斯顿发了快速打击付雷克萨	c=1 d=1 t=24986
a si dun fa sa dan fa sheng de fou 	阿斯顿发撒旦发生的否	c=1 d=1 t=46806
a si dun fa sha 	阿斯顿发啥	c=3 d=1 t=74835
a si dun fa sha de 	阿斯顿发啥的	c=3 d=1 t=42835
a si dun fa sha fa dian 	阿斯顿发沙发垫	c=1 d=1 t=47146
a si dun fa shi da fu 	阿斯顿发士大夫	c=15 d=1 t=78627
a si dun fa su du fa sa dan fa sheng de 	阿斯顿发速读法撒旦发生的	c=1 d=1 t=47131
a si dun fan kang jun sa da lu kan fang jian a si li kang 	阿斯顿反抗军萨大路看房间阿斯利康	c=1 d=1.89384e-13 t=17463
a si dun lan se de kai fang jiang la sa 	阿斯顿蓝色的开放将拉萨	c=1 d=1.79744e-16 t=17463
a si dun san da fan shi dui fang 	阿斯顿三大范式对方	c=1 d=7.23881e-23 t=17463
a si fa 	阿斯法	c=3 d=0.116083 t=72812
a si fa jiang an lian shen keng jiu dian shi da fu 	阿斯法将暗恋深坑酒店士大夫	c=1 d=1 t=25037
a si fa sa dui fang 	阿斯法撒对方	c=1 d=1 t=43222
a si fa shi fou 	阿斯法是否	c=1 d=1 t=46764
a si fang da su du fa 	啊四方达速读法	c=1 d=1 t=27361
a si jia de 	阿斯加德	c=0 d=0.1 t=43444
a si jia de fen li ka shi da fu 	阿斯加德分厘卡士大夫	c=1 d=1 t=43445
a si lan 	阿斯兰	c=1 d=0.1 t=51947
a si lan da fu ke ji lao ba si ling bu 	阿斯兰大富科技老爸司令部	c=1 d=5.68245e-28 t=17463
a si li kang 	阿斯利康	c=0 d=1.88439e-14 t=17463
a sou ga shi 	啊搜噶时	c=1 d=1 t=44493
a wu 	阿武	c=0 d=0.1 t=19559
a xi ba 	啊西巴	c=2 d=1 t=79664
a yi 	阿姨	c=7 d=1.54607 t=42041
a yo 	啊哟	c=0 d=0.1 t=33354
a yong 	阿永	c=0 d=0.1 t=59907
ai 	唉	c=19 d=1.018 t=79141
ai 	爱	c=8 d=1 t=47868
ai ai ai 	哎哎哎	c=1 d=2.20183e-21 t=17463
ai bu 	爱不	c=0 d=0.1 t=54059
ai bu hui 	爱不会	c=1 d=1 t=54060
ai chi 	爱吃	c=0 d=0.1 t=15283
ai chi ti ou niao 	爱吃提鸥鸟	c=1 d=1 t=15284
ai dao de 	挨刀的	c=1 d=1.39528e-07 t=17463
ai de 	爱的	c=0 d=3.10199e-25 t=17463
ai de fa 	爱德发	c=4 d=2.75779 t=46808
ai de fa da fa diao fou 	爱德发打发掉否	c=1 d=1 t=46710
ai de fa de 	爱德发的	c=1 d=1.1 t=46713
ai de fa de fou 	爱德发的否	c=4 d=3.23371 t=46801
ai de fa sheng dao 	爱德发升到	c=1 d=0.1 t=46799
ai de fa sheng dao fa fang dian 	爱德发升到发放点	c=1 d=1 t=46800
ai de fa su du fa 	爱德发速读法	c=1 d=1 t=46763
ai de hua 	爱德华	c=1 d=1 t=55074
ai duo 	爱多	c=1 d=1 t=39320
ai fa sheng de 	癌发生的	c=3 d=3.60862e-16 t=17463
ai guo 	爱国	c=0 d=0.1 t=31094
ai guo a si dun gai 	爱国阿斯顿改	c=1 d=1 t=31095
ai hao 	爱好	c=1 d=1 t=41172
ai le 	爱了	c=4 d=0.293678 t=48696
ai le sa ke da fei ji ai le shi ke deng ji 	爱了萨克打飞机爱了时刻登记	c=1 d=1 t=48697
ai li 	爱里	c=0 d=0.1 t=69761
ai li ke sen 	埃里克森	c=0 d=0.1 t=51954
ai li ke sen duan juan fa 	埃里克森短卷发	c=1 d=1 t=51955
ai ni 	爱你	c=3 d=0.1 t=70541
ai ni you 	爱你呦	c=1 d=1.83787e-13 t=17463
ai qi yi 	爱奇艺	c=1 d=1 t=16571
ai qing 	爱情	c=1 d=4.69037e-06 t=17463
ai se lin dun 	埃瑟林顿	c=0 d=5.59785e-29 t=17463
ai shi jian 	挨时间	c=0 d=0.0467666 t=17463
ai shi jian fu lan ke 	挨时间弗兰克	c=1 d=0.470011 t=17463
ai wan 	爱玩	c=1 d=1 t=19441
ai wo 	爱我	c=1 d=1 t=20043
ai ya 	哎呀	c=5 d=1 t=33782
ai ya ya 	哎呀呀	c=3 d=1 t=47253
ai you you 	艾悠悠	c=1 d=1 t=39286
ai zen me 	爱怎么	c=1 d=1 t=46784
an 	俺	c=9 d=2.11246 t=78351
an 	按	c=5 d=0.1 t=74703
an 	案	c=1 d=1 t=76433
an a ding 	氨吖啶	c=0 d=0.1 t=46777
an an 	按按	c=3 d=1 t=75120
an an xin xin 	安安心心	c=1 d=1 t=19364
an da shi 	安达市	c=2 d=1 t=46748
an da shi fa da song feng kou 	安达市发达送风口	c=1 d=1 t=25246
an da shi fa shi da fu 	安达市发士大夫	c=3 d=1.90484 t=46776
an fu 	安抚	c=3 d=0.100002 t=41581
an fu sa shuo de 	安抚撒说的	c=1 d=1 t=41582
an hao 	安好	c=1 d=1 t=77983
an ji hua 	按计划	c=1 d=1 t=75713
an jia 	俺家	c=3 d=1 t=29290
an jia de 	俺家的	c=1 d=1 t=49326
an jian 	按键	c=6 d=1 t=47769
an jian 	案件	c=11 d=1 t=47767
an jian hao 	案件号	c=6 d=1 t=20791
an ju ke 	安居客	c=1 d=1 t=41548
an li 	案例	c=7 d=1 t=79190
an lian 	暗恋	c=2 d=0.1 t=34998
an lian de 	暗恋的	c=1 d=2.95834e-25 t=17463
an ma 	俺妈	c=1 d=0.00195963 t=17463
an mo 	按摩	c=3 d=1 t=74785
an mo an mo 	按摩按摩	c=1 d=1.20568e-24 t=17463
an mo yi 	按摩椅	c=1 d=2.04802e-22 t=17463
an niu 	按钮	c=32 d=1.97531 t=67169
an pai 	安排	c=10 d=1 t=79498
an qi ao 	安奇奥	c=0 d=0.1 t=18483
