# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	15081
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	啊	c=134 d=2.32908 t=15081
a a 	啊啊	c=1 d=3.01031e-24 t=15081
a di 	阿迪	c=1 d=1.10041e-08 t=15081
a di da si 	阿迪达斯	c=1 d=1.01074e-08 t=15081
a ha ha 	啊哈哈	c=1 d=2.52745e-26 t=15081
a ji 	阿吉	c=0 d=8.24236e-22 t=15081
a ke 	阿克	c=0 d=3.31087e-27 t=15081
a kui luo 	阿奎罗	c=0 d=5.73956e-29 t=15081
a kui luo shou gou jia a li shan da ke gen ju zi xing che 	阿奎罗收购价阿历山大可根据自行车	c=1 d=5.76833e-28 t=15081
a la ke 	阿拉克	c=1 d=0.474734 t=15081
a la ke da shu jia fa 	阿拉克大数加法	c=1 d=2.42043e-17 t=15081
a la shan kou 	阿拉山口	c=0 d=1.1228e-28 t=15081
a la shan kou de ji fen 	阿拉山口的积分	c=1 d=5.48701e-28 t=15081
a li ba ba 	阿里巴巴	c=1 d=2.70004e-09 t=15081
a li shan da 	阿历山大	c=0 d=1.11448e-28 t=15081
a li shan da kuai ji fa 	阿历山大会计法	c=1 d=5.43241e-28 t=15081
a long suo 	阿隆索	c=0 d=5.05997e-17 t=15081
a long suo de kai fang jiang la su de kai fang 	阿隆索的开放姜辣素的开放	c=1 d=5.08534e-16 t=15081
a se 	阿瑟	c=0 d=9.20233e-24 t=15081
a se dao qie an 	阿瑟盗窃案	c=1 d=9.24846e-23 t=15081
a shang lan de fen jiu liang le 	啊上篮得分就凉了	c=1 d=3.16196e-14 t=15081
a shi da fu sa dan fa 	啊士大夫撒旦发	c=1 d=1 t=14290
a shi da fu san da 	啊士大夫三大	c=1 d=1 t=14277
a shi da shi 	啊实打实	c=1 d=2.31196e-07 t=15081
a shi fa shi 	啊事发时	c=2 d=2.39673e-13 t=15081
a shi lian duo kuai fang jia 	啊失恋多块放假	c=1 d=0.00802655 t=15081
a si da 	阿思达	c=1 d=9.61771e-13 t=15081
a si da she ding 	阿思达设定	c=1 d=1.27671e-21 t=15081
a si dun 	阿斯顿	c=11 d=2.74392e-13 t=15081
a si dun fa 	阿斯顿发	c=4 d=0.00231676 t=15081
a si dun fa sha 	阿斯顿发啥	c=1 d=1 t=14329
a si dun fa shi da fu 	阿斯顿发士大夫	c=2 d=0.0190631 t=15081
a si dun fan kang jun sa da lu kan fang jian a si li kang 	阿斯顿反抗军萨大路看房间阿斯利康	c=1 d=1.89384e-13 t=15081
