# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3184
#@/user_id	30b2fdae-cf15-49c1-b454-51f04700fdbe
a 	啊	c=13 d=1.9543 t=3184
a di 	阿迪	c=2 d=0.0647869 t=3184
a er fa 	阿爾法	c=0 d=0.076338 t=3184
a er fa she qu si ke da fu jin 	阿爾法社區斯柯達附近	c=1 d=0.767206 t=3184
a er fa she xian 	阿爾法射線	c=1 d=0.76338 t=3184
a er ji er 	阿爾及爾	c=1 d=0.771051 t=3184
a gui fan 	啊規範	c=1 d=2.03995e-05 t=3184
a kuai ji shi di fang 	啊會計師地方	c=1 d=2.06045e-05 t=3184
a la ding 	阿拉丁	c=0 d=3.33847e-07 t=3184
a li shan da 	阿歷山大	c=0 d=0.000123239 t=3184
a li shan da fa sheng di fang 	阿歷山大發生地方	c=1 d=1.87372e-05 t=3184
a liu kuai fu ji 	啊六塊腹肌	c=1 d=2.02978e-05 t=3184
a san duan lun fa kong jian 	啊三段論法空間	c=1 d=1.83661e-05 t=3184
a shi fan fa 	啊示範法	c=1 d=0.99005 t=3184
a shi fou 	啊是否	c=1 d=0.990049 t=3184
a si dun 	阿斯頓	c=1 d=1.88311e-05 t=3184
a si lan 	阿斯蘭	c=0 d=0.000240186 t=3184
a si lan fu jin 	阿斯蘭附近	c=1 d=0.000133264 t=3184
a si lan fu jin a li shan da 	阿斯蘭附近阿歷山大	c=1 d=0.00120052 t=3184
ai 	愛	c=0 d=0.0329559 t=3184
ai li ke sen 	埃里克森	c=0 d=3.44014e-07 t=3184
ai shang 	愛上	c=0 d=1.97966e-06 t=3184
ai wen si 	埃文斯	c=0 d=0.00587186 t=3184
ai wen si de 	埃文斯的	c=1 d=0.0590129 t=3184
an jian 	按鍵	c=1 d=0.456202 t=3184
an jian 	案件	c=3 d=1.09503 t=3184
an jian cao zuo 	按鍵操作	c=1 d=0.00198925 t=3184
an le guo 	安樂國	c=0 d=0.000121258 t=3184
an le guo shen kao jia de gu la sheng dan jie ga shi dong guan 	安樂國參考價德古拉聖誕節伽師東莞	c=1 d=0.00121866 t=3184
an niu 	按鈕	c=2 d=0.233715 t=3184
an zhuang 	安裝	c=4 d=0.74229 t=3184
an zhuo 	安卓	c=1 d=1.16246e-05 t=3184
ao si da 	奧斯達	c=0 d=0.0980199 t=3184
ao si da su du fa 	奧斯達速讀法	c=1 d=0.985112 t=3184
ao si ka 	奧斯卡	c=0 d=1.34034e-06 t=3184
ao ye 	熬夜	c=1 d=3.97694e-06 t=3184
ba 	吧	c=12 d=1.73864 t=3184
ba 	把	c=1 d=0.366045 t=3184
ba ba 	爸爸	c=3 d=0.738975 t=3184
ba la ke 	巴拉克	c=0 d=0.000120654 t=3184
ba shi gan jun 	巴氏桿菌	c=0 d=0.000121866 t=3184
bai 	白	c=0 d=0.0687289 t=3184
bai bai 	白白	c=0 d=2.4059e-06 t=3184
bai bai nen nen 	白白嫩嫩	c=1 d=2.41796e-05 t=3184
bai dan du bai ke 	白單獨百科	c=1 d=0.690734 t=3184
bai du 	百度	c=1 d=1.57698e-06 t=3184
bai du bai ke 	百度百科	c=1 d=0.694197 t=3184
bai ke 	百科	c=0 d=0.0687289 t=3184
ban 	版	c=1 d=0.0572229 t=3184
ban ben 	版本	c=9 d=0.430209 t=3184
ban fang 	搬房	c=1 d=0.600496 t=3184
bang ni 	幫你	c=2 d=0.207034 t=3184
bang zhu 	幫助	c=0 d=6.5727e-06 t=3184
bang zhu wen dang 	幫助文檔	c=1 d=6.60565e-05 t=3184
bao 	保	c=0 d=8.74013e-06 t=3184
bao 	包	c=6 d=0.0523851 t=3184
bao cun 	保存	c=5 d=1.78055 t=3184
bao cuo 	報錯	c=4 d=0.328063 t=3184
bao di qu 	寶坻區	c=1 d=0.000523486 t=3184
bao gao 	報告	c=1 d=0.236928 t=3184
bao li guan li 	保理管理	c=2 d=0.00018111 t=3184
bao shan 	寶山	c=1 d=8.02792e-05 t=3184
bei 	被	c=1 d=0.00181804 t=3184
bei dou 	北斗	c=1 d=0.000111666 t=3184
bei fen 	備份	c=1 d=0.0139121 t=3184
bei jing 	北京	c=1 d=4.85743e-06 t=3184
bei na 	貝納	c=0 d=3.2398e-07 t=3184
bei na song 	貝納頌	c=1 d=0.000123308 t=3184
ben di 	本地	c=3 d=0.559938 t=3184
ben qi 	本期	c=1 d=0.0101023 t=3184
bi dui 	比對	c=6 d=0.0829355 t=3184
bi jiao 	比較	c=10 d=1.56193 t=3184
bi shan 	璧山	c=0 d=4.66618e-05 t=3184
bi shan qu 	璧山區	c=1 d=0.000468956 t=3184
bi ye 	畢業	c=1 d=1.53037e-06 t=3184
bi zhi 	壁紙	c=1 d=0.0111646 t=3184
bian 	扁	c=1 d=0.0875977 t=3184
bian cheng 	編程	c=1 d=2.49805e-06 t=3184
bian geng 	變更	c=3 d=0.000676095 t=3184
bian geng e 	變更額	c=1 d=0.000277413 t=3184
bian geng tai zhang 	變更臺帳	c=1 d=1.7558e-05 t=3184
bian le 	扁了	c=1 d=0.0363341 t=3184
bian liang 	變量	c=2 d=0.242926 t=3184
bian ma 	編碼	c=4 d=0.0524757 t=3184
biao 	表	c=7 d=0.427218 t=3184
biao dui xiang 	表對象	c=1 d=0.474734 t=3184
biao qian 	標籤	c=1 d=0.0223708 t=3184
biao qing 	表情	c=1 d=3.07395e-06 t=3184
biao qing tu 	表情圖	c=1 d=2.58703e-06 t=3184
biao shi 	標識	c=3 d=0.149904 t=3184
biao shi 	表示	c=1 d=0.000243596 t=3184
bie 	別	c=2 d=0.000607559 t=3184
bie de 	別的	c=1 d=0.000455097 t=3184
bie lin gan mao 	別林感冒	c=1 d=3.32984e-05 t=3184
bie ren 	別人	c=1 d=0.000308127 t=3184
bie ren ke 	別認可	c=1 d=0.00030659 t=3184
bing 	並	c=2 d=0.7221 t=3184
bing li xue jia 	病理學家	c=0 d=0.000117088 t=3184
bing tian jia 	並添加	c=1 d=6.22097e-05 t=3184
bo zhou shi 	亳州市	c=2 d=0.00099311 t=3184
bu 	不	c=4 d=0.715721 t=3184
bu 	步	c=1 d=4.48397e-06 t=3184
bu 	簿	c=0 d=2.44817e-05 t=3184
bu cheng 	不成	c=0 d=0.00792617 t=3184
bu cun zai 	不存在	c=0 d=0.00166557 t=3184
bu cuo 	不錯	c=1 d=0.000297529 t=3184
bu dang 	不當	c=0 d=0.0035437 t=3184
bu dao 	不到	c=1 d=0.00486835 t=3184
bu duo 	不多	c=1 d=0.00914087 t=3184
