# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	17463
#@/user_id	51e25a0a-ac6c-40dd-89cd-561e9e93526d
a 	啊	c=149 d=2.32908 t=17463
a a 	啊啊	c=1 d=3.01031e-24 t=17463
a a a 	啊啊啊	c=1 d=1 t=17329
a di 	阿迪	c=1 d=1.10041e-08 t=17463
a di da si 	阿迪达斯	c=1 d=1.01074e-08 t=17463
a ha ha 	啊哈哈	c=1 d=2.52745e-26 t=17463
a ji 	阿吉	c=0 d=8.24236e-22 t=17463
a ke 	阿克	c=0 d=3.31087e-27 t=17463
a kui luo 	阿奎罗	c=0 d=5.73956e-29 t=17463
a kui luo shou gou jia a li shan da ke gen ju zi xing che 	阿奎罗收购价阿历山大可根据自行车	c=1 d=5.76833e-28 t=17463
a la ke 	阿拉克	c=1 d=0.474734 t=17463
a la ke da shu jia fa 	阿拉克大数加法	c=1 d=2.42043e-17 t=17463
a la shan kou 	阿拉山口	c=0 d=1.1228e-28 t=17463
a la shan kou de ji fen 	阿拉山口的积分	c=1 d=5.48701e-28 t=17463
a li ba ba 	阿里巴巴	c=1 d=2.70004e-09 t=17463
a li shan da 	阿历山大	c=0 d=1.11448e-28 t=17463
a li shan da kuai ji fa 	阿历山大会计法	c=1 d=5.43241e-28 t=17463
a long suo 	阿隆索	c=0 d=5.05997e-17 t=17463
a long suo de kai fang jiang la su de kai fang 	阿隆索的开放姜辣素的开放	c=1 d=5.08534e-16 t=17463
a se 	阿瑟	c=0 d=9.20233e-24 t=17463
a se dao qie an 	阿瑟盗窃案	c=1 d=9.24846e-23 t=17463
a shang lan de fen jiu liang le 	啊上篮得分就凉了	c=1 d=3.16196e-14 t=17463
a shi da fu sa dan fa 	啊士大夫撒旦发	c=1 d=0.0191587 t=17463
a shi da fu san da 	啊士大夫三大	c=1 d=0.017953 t=17463
a shi da shi 	啊实打实	c=2 d=0.118837 t=17463
a shi fa shi 	啊事发时	c=2 d=2.39673e-13 t=17463
a shi lian duo kuai fang jia 	啊失恋多块放假	c=1 d=0.00802655 t=17463
a si da 	阿思达	c=1 d=9.61771e-13 t=17463
a si da she ding 	阿思达设定	c=1 d=1.27671e-21 t=17463
a si dun 	阿斯顿	c=11 d=2.74392e-13 t=17463
a si dun fa 	阿斯顿发	c=4 d=0.00231676 t=17463
a si dun fa sha 	阿斯顿发啥	c=1 d=0.0232837 t=17463
a si dun fa shi da fu 	阿斯顿发士大夫	c=2 d=0.0190631 t=17463
a si dun fan kang jun sa da lu kan fang jian a si li kang 	阿斯顿反抗军萨大路看房间阿斯利康	c=1 d=1.89384e-13 t=17463
a si dun lan se de kai fang jiang la sa 	阿斯顿蓝色的开放将拉萨	c=1 d=1.79744e-16 t=17463
a si dun san da fan shi dui fang 	阿斯顿三大范式对方	c=1 d=7.23881e-23 t=17463
a si fa 	阿斯法	c=2 d=9.58798e-06 t=17463
a si lan 	阿斯兰	c=0 d=5.65411e-29 t=17463
a si lan da fu ke ji lao ba si ling bu 	阿斯兰大富科技老爸司令部	c=1 d=5.68245e-28 t=17463
a si li kang 	阿斯利康	c=0 d=1.88439e-14 t=17463
a yi 	阿姨	c=5 d=1.96837e-18 t=17463
ai 	唉	c=11 d=0.0376294 t=17463
ai 	爱	c=2 d=3.28431e-17 t=17463
ai ai ai 	哎哎哎	c=1 d=2.20183e-21 t=17463
ai chi 	爱吃	c=0 d=0.1 t=15283
ai chi ti ou niao 	爱吃提鸥鸟	c=1 d=1 t=15284
ai dao de 	挨刀的	c=1 d=1.39528e-07 t=17463
ai de 	爱的	c=0 d=3.10199e-25 t=17463
ai de fa 	爱德发	c=0 d=1.16342e-17 t=17463
